year,team_a,team_b,wl
1999,IND,MIL,W
1999,CHA,PHI,L
1999,NYK,TOR,W
1999,MIA,DET,W
1999,LAL,SAC,W
1999,SAS,PHO,L
1999,POR,MIN,W
1999,UTA,SEA,W
1999,IND,PHI,W
1999,NYK,MIA,W
1999,LAL,PHO,W
1999,POR,UTA,W
1999,IND,NYK,W
1999,LAL,POR,W
1999,IND,LAL,L
2000,PHI,IND,W
2000,NYK,TOR,L
2000,MIA,CHA,L
2000,MIL,ORL,W
2000,SAS,MIN,W
2000,UTA,DAL,L
2000,SAC,PHO,W
2000,LAL,POR,W
2000,PHI,TOR,W
2000,CHA,MIL,L
2000,SAS,DAL,W
2000,SAC,LAL,L
2000,PHI,MIL,W
2000,SAS,LAL,L
2000,PHI,LAL,L
2001,NJN,IND,W
2001,CHA,ORL,W
2001,BOS,PHI,W
2001,DET,TOR,W
2001,SAC,UTA,W
2001,DAL,MIN,W
2001,LAL,POR,W
2001,SAS,SEA,W
2001,NJN,CHA,W
2001,BOS,DET,W
2001,SAC,DAL,W
2001,LAL,SAS,W
2001,NJN,BOS,W
2001,SAC,LAL,L
2001,NJN,LAL,L
2002,DET,ORL,W
2002,PHI,NOH,W
2002,IND,BOS,L
2002,NJN,MIL,W
2002,SAS,PHO,W
2002,MIN,LAL,L
2002,DAL,POR,W
2002,SAC,UTA,W
2002,DET,PHI,W
2002,BOS,NJN,L
2002,SAS,LAL,W
2002,DAL,SAC,W
2002,DET,NJN,L
2002,SAS,DAL,W
2002,NJN,SAS,L
2003,IND,BOS,W
2003,MIA,NOH,W
2003,DET,MIL,W
2003,NJN,NYK,W
2003,MIN,DEN,W
2003,SAC,DAL,W
2003,SAS,MEM,W
2003,LAL,HOU,W
2003,IND,MIA,W
2003,DET,NJN,W
2003,MIN,SAC,W
2003,SAS,LAL,L
2003,IND,DET,L
2003,MIN,LAL,L
2003,DET,LAL,W
2004,MIA,NJN,W
2004,CHI,WAS,L
2004,BOS,IND,L
2004,DET,PHI,W
2004,PHO,MEM,W
2004,DAL,HOU,W
2004,SEA,SAC,W
2004,SAS,DEN,W
2004,MIA,WAS,W
2004,IND,DET,L
2004,PHO,DAL,W
2004,SEA,SAS,L
2004,MIA,DET,L
2004,PHO,SAS,L
2004,DET,SAS,L
