"Cost","Accuracy","Recall","AUC"
0.015625,0.726923076923077,0.743083003952569,0.492111840049984
3.0517578125e-05,0.746153846153846,0.746153846153846,0.5
6.103515625e-05,0.746153846153846,0.746153846153846,0.5
0.0001220703125,0.746153846153846,0.746153846153846,0.5
0.000244140625,0.746153846153846,0.746153846153846,0.5
0.00048828125,0.746153846153846,0.746153846153846,0.5
0.0009765625,0.746153846153846,0.746153846153846,0.5
0.001953125,0.746153846153846,0.746153846153846,0.5
0.00390625,0.746153846153846,0.746153846153846,0.5
0.0078125,0.742307692307692,0.747081712062257,0.5024211184005
0.03125,0.742307692307692,0.763485477178423,0.542408622305529
64,0.65,0.775401069518717,0.555529522024367
32,0.657692307692308,0.777777777777778,0.560684161199625
128,0.646153846153846,0.78021978021978,0.562949078412996
0.0625,0.730769230769231,0.774336283185841,0.564667291471415
4,0.661538461538462,0.781914893617021,0.568259918775383
16,0.661538461538462,0.781914893617021,0.568259918775383
512,0.657692307692308,0.783783783783784,0.570681037175883
0.125,0.703846153846154,0.779904306220096,0.571618244298657
2,0.669230769230769,0.784210526315789,0.57341455795064
8,0.669230769230769,0.784210526315789,0.57341455795064
256,0.657692307692308,0.786885245901639,0.575679475164011
1024,0.661538461538462,0.78804347826087,0.57825679475164
0.25,0.688461538461538,0.786802030456853,0.581302717900656
0.5,0.688461538461538,0.786802030456853,0.581302717900656
1,0.692307692307692,0.793814432989691,0.593876913464542
