"Cost","Gamma","Accuracy","AUC"
256,3.0517578125e-05,0.726923076923077,0.492111840049984
128,6.103515625e-05,0.726923076923077,0.492111840049984
64,0.0001220703125,0.726923076923077,0.492111840049984
32,0.000244140625,0.726923076923077,0.492111840049984
16,0.00048828125,0.726923076923077,0.492111840049984
8,0.0009765625,0.726923076923077,0.492111840049984
4,0.001953125,0.726923076923077,0.492111840049984
2,0.00390625,0.726923076923077,0.492111840049984
1,0.015625,0.726923076923077,0.492111840049984
1,0.125,0.734615384615385,0.492268041237113
1,0.0078125,0.730769230769231,0.494689159637613
2,0.001953125,0.742307692307692,0.497422680412371
1,0.25,0.742307692307692,0.497422680412371
2,0.25,0.742307692307692,0.497422680412371
4,0.25,0.742307692307692,0.497422680412371
8,0.25,0.742307692307692,0.497422680412371
16,0.25,0.742307692307692,0.497422680412371
32,0.25,0.742307692307692,0.497422680412371
64,0.25,0.742307692307692,0.497422680412371
128,0.25,0.742307692307692,0.497422680412371
256,0.25,0.742307692307692,0.497422680412371
512,0.25,0.742307692307692,0.497422680412371
1024,0.25,0.742307692307692,0.497422680412371
3.0517578125e-05,3.0517578125e-05,0.746153846153846,0.5
6.103515625e-05,3.0517578125e-05,0.746153846153846,0.5
0.0001220703125,3.0517578125e-05,0.746153846153846,0.5
0.000244140625,3.0517578125e-05,0.746153846153846,0.5
0.00048828125,3.0517578125e-05,0.746153846153846,0.5
0.0009765625,3.0517578125e-05,0.746153846153846,0.5
0.001953125,3.0517578125e-05,0.746153846153846,0.5
0.00390625,3.0517578125e-05,0.746153846153846,0.5
0.0078125,3.0517578125e-05,0.746153846153846,0.5
0.015625,3.0517578125e-05,0.746153846153846,0.5
0.03125,3.0517578125e-05,0.746153846153846,0.5
0.0625,3.0517578125e-05,0.746153846153846,0.5
0.125,3.0517578125e-05,0.746153846153846,0.5
0.25,3.0517578125e-05,0.746153846153846,0.5
0.5,3.0517578125e-05,0.746153846153846,0.5
1,3.0517578125e-05,0.746153846153846,0.5
2,3.0517578125e-05,0.746153846153846,0.5
4,3.0517578125e-05,0.746153846153846,0.5
8,3.0517578125e-05,0.746153846153846,0.5
16,3.0517578125e-05,0.746153846153846,0.5
32,3.0517578125e-05,0.746153846153846,0.5
64,3.0517578125e-05,0.746153846153846,0.5
3.0517578125e-05,6.103515625e-05,0.746153846153846,0.5
6.103515625e-05,6.103515625e-05,0.746153846153846,0.5
0.0001220703125,6.103515625e-05,0.746153846153846,0.5
0.000244140625,6.103515625e-05,0.746153846153846,0.5
0.00048828125,6.103515625e-05,0.746153846153846,0.5
0.0009765625,6.103515625e-05,0.746153846153846,0.5
0.001953125,6.103515625e-05,0.746153846153846,0.5
0.00390625,6.103515625e-05,0.746153846153846,0.5
0.0078125,6.103515625e-05,0.746153846153846,0.5
0.015625,6.103515625e-05,0.746153846153846,0.5
0.03125,6.103515625e-05,0.746153846153846,0.5
0.0625,6.103515625e-05,0.746153846153846,0.5
0.125,6.103515625e-05,0.746153846153846,0.5
0.25,6.103515625e-05,0.746153846153846,0.5
0.5,6.103515625e-05,0.746153846153846,0.5
1,6.103515625e-05,0.746153846153846,0.5
2,6.103515625e-05,0.746153846153846,0.5
4,6.103515625e-05,0.746153846153846,0.5
8,6.103515625e-05,0.746153846153846,0.5
16,6.103515625e-05,0.746153846153846,0.5
32,6.103515625e-05,0.746153846153846,0.5
3.0517578125e-05,0.0001220703125,0.746153846153846,0.5
6.103515625e-05,0.0001220703125,0.746153846153846,0.5
0.0001220703125,0.0001220703125,0.746153846153846,0.5
0.000244140625,0.0001220703125,0.746153846153846,0.5
0.00048828125,0.0001220703125,0.746153846153846,0.5
0.0009765625,0.0001220703125,0.746153846153846,0.5
0.001953125,0.0001220703125,0.746153846153846,0.5
0.00390625,0.0001220703125,0.746153846153846,0.5
0.0078125,0.0001220703125,0.746153846153846,0.5
