"Cost","Gamma","Accuracy","AUC"
32,4,0.596153846153846,0.484457981880662
64,4,0.596153846153846,0.484457981880662
128,4,0.596153846153846,0.484457981880662
256,4,0.596153846153846,0.484457981880662
512,4,0.596153846153846,0.484457981880662
1024,4,0.596153846153846,0.484457981880662
2,0.0078125,0.723076923076923,0.489534520462356
1,0.015625,0.723076923076923,0.489534520462356
0.5,0.03125,0.723076923076923,0.489534520462356
0.25,0.0625,0.723076923076923,0.489534520462356
16,4,0.6,0.49203373945642
512,3.0517578125e-05,0.726923076923077,0.492111840049984
256,6.103515625e-05,0.726923076923077,0.492111840049984
128,0.0001220703125,0.726923076923077,0.492111840049984
64,0.000244140625,0.726923076923077,0.492111840049984
32,0.00048828125,0.726923076923077,0.492111840049984
16,0.0009765625,0.726923076923077,0.492111840049984
8,0.001953125,0.726923076923077,0.492111840049984
4,0.00390625,0.726923076923077,0.492111840049984
0.125,0.25,0.711538461538462,0.496797875663855
2,2,0.592307692307692,0.49687597625742
8,4,0.607692307692308,0.497188378631678
3.0517578125e-05,3.0517578125e-05,0.746153846153846,0.5
6.103515625e-05,3.0517578125e-05,0.746153846153846,0.5
0.0001220703125,3.0517578125e-05,0.746153846153846,0.5
0.000244140625,3.0517578125e-05,0.746153846153846,0.5
0.00048828125,3.0517578125e-05,0.746153846153846,0.5
0.0009765625,3.0517578125e-05,0.746153846153846,0.5
0.001953125,3.0517578125e-05,0.746153846153846,0.5
0.00390625,3.0517578125e-05,0.746153846153846,0.5
0.0078125,3.0517578125e-05,0.746153846153846,0.5
0.015625,3.0517578125e-05,0.746153846153846,0.5
0.03125,3.0517578125e-05,0.746153846153846,0.5
0.0625,3.0517578125e-05,0.746153846153846,0.5
0.125,3.0517578125e-05,0.746153846153846,0.5
0.25,3.0517578125e-05,0.746153846153846,0.5
0.5,3.0517578125e-05,0.746153846153846,0.5
1,3.0517578125e-05,0.746153846153846,0.5
2,3.0517578125e-05,0.746153846153846,0.5
4,3.0517578125e-05,0.746153846153846,0.5
8,3.0517578125e-05,0.746153846153846,0.5
16,3.0517578125e-05,0.746153846153846,0.5
32,3.0517578125e-05,0.746153846153846,0.5
64,3.0517578125e-05,0.746153846153846,0.5
128,3.0517578125e-05,0.746153846153846,0.5
3.0517578125e-05,6.103515625e-05,0.746153846153846,0.5
6.103515625e-05,6.103515625e-05,0.746153846153846,0.5
0.0001220703125,6.103515625e-05,0.746153846153846,0.5
0.000244140625,6.103515625e-05,0.746153846153846,0.5
0.00048828125,6.103515625e-05,0.746153846153846,0.5
0.0009765625,6.103515625e-05,0.746153846153846,0.5
0.001953125,6.103515625e-05,0.746153846153846,0.5
0.00390625,6.103515625e-05,0.746153846153846,0.5
0.0078125,6.103515625e-05,0.746153846153846,0.5
0.015625,6.103515625e-05,0.746153846153846,0.5
0.03125,6.103515625e-05,0.746153846153846,0.5
0.0625,6.103515625e-05,0.746153846153846,0.5
0.125,6.103515625e-05,0.746153846153846,0.5
0.25,6.103515625e-05,0.746153846153846,0.5
0.5,6.103515625e-05,0.746153846153846,0.5
1,6.103515625e-05,0.746153846153846,0.5
2,6.103515625e-05,0.746153846153846,0.5
4,6.103515625e-05,0.746153846153846,0.5
8,6.103515625e-05,0.746153846153846,0.5
16,6.103515625e-05,0.746153846153846,0.5
32,6.103515625e-05,0.746153846153846,0.5
64,6.103515625e-05,0.746153846153846,0.5
3.0517578125e-05,0.0001220703125,0.746153846153846,0.5
6.103515625e-05,0.0001220703125,0.746153846153846,0.5
0.0001220703125,0.0001220703125,0.746153846153846,0.5
0.000244140625,0.0001220703125,0.746153846153846,0.5
0.00048828125,0.0001220703125,0.746153846153846,0.5
0.0009765625,0.0001220703125,0.746153846153846,0.5
0.001953125,0.0001220703125,0.746153846153846,0.5
0.00390625,0.0001220703125,0.746153846153846,0.5
0.0078125,0.0001220703125,0.746153846153846,0.5
0.015625,0.0001220703125,0.746153846153846,0.5
0.03125,0.0001220703125,0.746153846153846,0.5
0.0625,0.0001220703125,0.746153846153846,0.5
0.125,0.0001220703125,0.746153846153846,0.5
0.25,0.0001220703125,0.746153846153846,0.5
0.5,0.0001220703125,0.746153846153846,0.5
1,0.0001220703125,0.746153846153846,0.5
2,0.0001220703125,0.746153846153846,0.5
4,0.0001220703125,0.746153846153846,0.5
8,0.0001220703125,0.746153846153846,0.5
16,0.0001220703125,0.746153846153846,0.5
32,0.0001220703125,0.746153846153846,0.5
3.0517578125e-05,0.000244140625,0.746153846153846,0.5
6.103515625e-05,0.000244140625,0.746153846153846,0.5
0.0001220703125,0.000244140625,0.746153846153846,0.5
0.000244140625,0.000244140625,0.746153846153846,0.5
